"sku_id","product_name","description","brand","category","sub_category","price","image_url","stock_quantity"
1,Potatoes Organic,High-quality potatoes from produce section.,Sainsbury's,Produce,Potatoes,4.55,"",275
2,Pork Organic,High-quality pork from meat section.,Sainsbury's,Meat,Pork,12.67,"",22
3,Chocolate Organic,High-quality chocolate from snacks section.,Taste the Difference,Snacks,Chocolate,5.66,"",37
4,Tea Organic,High-quality tea from beverages section.,SO Organic,Beverages,Tea,6.83,"",89
5,Bread Premium,High-quality bread from bakery section.,Be Good to Yourself,Bakery,Bread,10.29,"",166
6,Cheese Premium,High-quality cheese from dairy section.,Taste the Difference,Dairy,Cheese,2.53,"",48
7,Butter Classic,High-quality butter from dairy section.,Basics,Dairy,Butter,4.84,"",218
8,Tea Classic,High-quality tea from beverages section.,Be Good to Yourself,Beverages,Tea,9.96,"",166
9,Carrots Organic,High-quality carrots from produce section.,Basics,Produce,Carrots,9.74,"",412
10,Pork Premium,High-quality pork from meat section.,Basics,Meat,Pork,13.61,"",108
11,Juice Organic,High-quality juice from beverages section.,Taste the Difference,Beverages,Juice,0.85,"",14
12,Juice Classic,High-quality juice from beverages section.,Sainsbury's,Beverages,Juice,9.79,"",461
13,Apples Organic,High-quality apples from produce section.,Basics,Produce,Apples,4.16,"",483
14,Apples Classic,High-quality apples from produce section.,Be Good to Yourself,Produce,Apples,13.4,"",290
15,Tea Classic,High-quality tea from beverages section.,Sainsbury's,Beverages,Tea,11.2,"",86
16,Butter Fresh,High-quality butter from dairy section.,Basics,Dairy,Butter,11.98,"",324
17,Pizza Classic,High-quality pizza from frozen section.,Sainsbury's,Frozen,Pizza,6.17,"",298
18,Potatoes Classic,High-quality potatoes from produce section.,Be Good to Yourself,Produce,Potatoes,5.56,"",99
19,Juice Premium,High-quality juice from beverages section.,Be Good to Yourself,Beverages,Juice,12.06,"",235
20,Biscuits Classic,High-quality biscuits from snacks section.,Basics,Snacks,Biscuits,0.78,"",398
21,Biscuits Organic,High-quality biscuits from snacks section.,Be Good to Yourself,Snacks,Biscuits,2.66,"",99
22,Milk Classic,High-quality milk from dairy section.,SO Organic,Dairy,Milk,2.22,"",387
23,Coffee Classic,High-quality coffee from beverages section.,Be Good to Yourself,Beverages,Coffee,2.41,"",296
24,Coffee Organic,High-quality coffee from beverages section.,Taste the Difference,Beverages,Coffee,8.75,"",442
25,Chocolate Classic,High-quality chocolate from snacks section.,Basics,Snacks,Chocolate,2.19,"",326
26,Bagel Classic,High-quality bagel from bakery section.,Sainsbury's,Bakery,Bagel,12.55,"",472
27,Soda Fresh,High-quality soda from beverages section.,Basics,Beverages,Soda,4.03,"",274
28,Soda Premium,High-quality soda from beverages section.,Basics,Beverages,Soda,9.25,"",398
29,Pizza Fresh,High-quality pizza from frozen section.,Sainsbury's,Frozen,Pizza,14.09,"",342
30,Tea Premium,High-quality tea from beverages section.,SO Organic,Beverages,Tea,7.2,"",220
31,Carrots Classic,High-quality carrots from produce section.,Basics,Produce,Carrots,12.06,"",401
32,Pork Premium,High-quality pork from meat section.,Taste the Difference,Meat,Pork,4.76,"",468
33,Juice Classic,High-quality juice from beverages section.,Be Good to Yourself,Beverages,Juice,10.47,"",405
34,Tea Organic,High-quality tea from beverages section.,SO Organic,Beverages,Tea,11.74,"",336
35,Turkey Classic,High-quality turkey from meat section.,Taste the Difference,Meat,Turkey,9.41,"",167
36,Cake Fresh,High-quality cake from bakery section.,Basics,Bakery,Cake,3.5,"",437
37,Juice Classic,High-quality juice from beverages section.,SO Organic,Beverages,Juice,4.11,"",301
38,Bread Organic,High-quality bread from bakery section.,Taste the Difference,Bakery,Bread,14.93,"",489
39,Juice Fresh,High-quality juice from beverages section.,SO Organic,Beverages,Juice,0.68,"",23
40,Potatoes Premium,High-quality potatoes from produce section.,Be Good to Yourself,Produce,Potatoes,14.85,"",461
41,Butter Classic,High-quality butter from dairy section.,SO Organic,Dairy,Butter,7.94,"",166
42,Pizza Organic,High-quality pizza from frozen section.,SO Organic,Frozen,Pizza,6.5,"",350
43,Bread Classic,High-quality bread from bakery section.,Basics,Bakery,Bread,12.33,"",109
44,Turkey Organic,High-quality turkey from meat section.,Sainsbury's,Meat,Turkey,5.86,"",12
45,Chicken Fresh,High-quality chicken from meat section.,Taste the Difference,Meat,Chicken,3.88,"",270
46,Ice Cream Organic,High-quality ice cream from frozen section.,Sainsbury's,Frozen,Ice Cream,13.83,"",94
47,Beef Fresh,High-quality beef from meat section.,SO Organic,Meat,Beef,4.87,"",253
48,Croissant Classic,High-quality croissant from bakery section.,Sainsbury's,Bakery,Croissant,14.13,"",401
49,Chips Fresh,High-quality chips from snacks section.,Sainsbury's,Snacks,Chips,8.47,"",167
50,Potatoes Fresh,High-quality potatoes from produce section.,Sainsbury's,Produce,Potatoes,10.38,"",455
51,Apples Premium,High-quality apples from produce section.,SO Organic,Produce,Apples,7.19,"",382
52,Cheese Classic,High-quality cheese from dairy section.,Basics,Dairy,Cheese,7.18,"",17
53,Juice Fresh,High-quality juice from beverages section.,Sainsbury's,Beverages,Juice,6.72,"",34
54,Bread Premium,High-quality bread from bakery section.,Basics,Bakery,Bread,7.0,"",172
55,Apples Organic,High-quality apples from produce section.,Basics,Produce,Apples,9.92,"",115
56,Fish Premium,High-quality fish from frozen section.,Basics,Frozen,Fish,1.77,"",85
57,Soda Organic,High-quality soda from beverages section.,Sainsbury's,Beverages,Soda,1.98,"",425
58,Apples Organic,High-quality apples from produce section.,Be Good to Yourself,Produce,Apples,14.14,"",353
59,Potatoes Premium,High-quality potatoes from produce section.,Sainsbury's,Produce,Potatoes,10.24,"",56
60,Ice Cream Premium,High-quality ice cream from frozen section.,Be Good to Yourself,Frozen,Ice Cream,1.92,"",79
61,Chocolate Premium,High-quality chocolate from snacks section.,SO Organic,Snacks,Chocolate,1.08,"",279
62,Ice Cream Classic,High-quality ice cream from frozen section.,Be Good to Yourself,Frozen,Ice Cream,7.69,"",358
63,Yogurt Classic,High-quality yogurt from dairy section.,Basics,Dairy,Yogurt,12.15,"",168
64,Beef Classic,High-quality beef from meat section.,Be Good to Yourself,Meat,Beef,11.54,"",467
65,Potatoes Premium,High-quality potatoes from produce section.,Taste the Difference,Produce,Potatoes,4.59,"",140
66,Butter Classic,High-quality butter from dairy section.,Sainsbury's,Dairy,Butter,9.11,"",324
67,Chocolate Classic,High-quality chocolate from snacks section.,Taste the Difference,Snacks,Chocolate,1.56,"",17
68,Butter Fresh,High-quality butter from dairy section.,Sainsbury's,Dairy,Butter,13.83,"",301
69,Bananas Premium,High-quality bananas from produce section.,SO Organic,Produce,Bananas,2.6,"",326
70,Carrots Fresh,High-quality carrots from produce section.,Basics,Produce,Carrots,9.64,"",463
71,Croissant Fresh,High-quality croissant from bakery section.,Taste the Difference,Bakery,Croissant,14.12,"",455
72,Pizza Fresh,High-quality pizza from frozen section.,Be Good to Yourself,Frozen,Pizza,4.89,"",153
73,Nuts Classic,High-quality nuts from snacks section.,Be Good to Yourself,Snacks,Nuts,8.63,"",371
74,Pork Fresh,High-quality pork from meat section.,Sainsbury's,Meat,Pork,11.75,"",385
75,Yogurt Classic,High-quality yogurt from dairy section.,Basics,Dairy,Yogurt,7.53,"",366
76,Yogurt Organic,High-quality yogurt from dairy section.,Sainsbury's,Dairy,Yogurt,8.7,"",436
77,Turkey Classic,High-quality turkey from meat section.,Sainsbury's,Meat,Turkey,7.62,"",19
78,Juice Fresh,High-quality juice from beverages section.,Sainsbury's,Beverages,Juice,3.24,"",366
79,Chicken Premium,High-quality chicken from meat section.,SO Organic,Meat,Chicken,12.63,"",228
80,Soda Classic,High-quality soda from beverages section.,Basics,Beverages,Soda,6.01,"",209
81,Cake Organic,High-quality cake from bakery section.,Taste the Difference,Bakery,Cake,4.37,"",367
82,Apples Classic,High-quality apples from produce section.,Taste the Difference,Produce,Apples,6.89,"",117
83,Bread Classic,High-quality bread from bakery section.,SO Organic,Bakery,Bread,9.78,"",25
84,Pork Organic,High-quality pork from meat section.,SO Organic,Meat,Pork,14.84,"",154
85,Nuts Organic,High-quality nuts from snacks section.,Taste the Difference,Snacks,Nuts,2.87,"",280
86,Apples Classic,High-quality apples from produce section.,Sainsbury's,Produce,Apples,1.07,"",296
87,Chips Organic,High-quality chips from snacks section.,Basics,Snacks,Chips,13.5,"",399
88,Juice Fresh,High-quality juice from beverages section.,Basics,Beverages,Juice,0.64,"",204
89,Croissant Fresh,High-quality croissant from bakery section.,Be Good to Yourself,Bakery,Croissant,0.87,"",295
90,Yogurt Classic,High-quality yogurt from dairy section.,Basics,Dairy,Yogurt,8.16,"",39
91,Nuts Premium,High-quality nuts from snacks section.,Taste the Difference,Snacks,Nuts,13.0,"",113
92,Apples Premium,High-quality apples from produce section.,Basics,Produce,Apples,14.34,"",498
93,Coffee Fresh,High-quality coffee from beverages section.,Sainsbury's,Beverages,Coffee,10.7,"",196
94,Carrots Premium,High-quality carrots from produce section.,Basics,Produce,Carrots,2.02,"",130
95,Turkey Premium,High-quality turkey from meat section.,SO Organic,Meat,Turkey,5.17,"",289
96,Ice Cream Classic,High-quality ice cream from frozen section.,Sainsbury's,Frozen,Ice Cream,12.89,"",348
97,Croissant Classic,High-quality croissant from bakery section.,Be Good to Yourself,Bakery,Croissant,7.62,"",494
98,Croissant Classic,High-quality croissant from bakery section.,Basics,Bakery,Croissant,5.07,"",94
99,Milk Fresh,High-quality milk from dairy section.,SO Organic,Dairy,Milk,13.34,"",495
100,Coffee Premium,High-quality coffee from beverages section.,SO Organic,Beverages,Coffee,1.96,"",104
101,Chocolate Fresh,High-quality chocolate from snacks section.,Taste the Difference,Snacks,Chocolate,1.77,"",262
102,Carrots Organic,High-quality carrots from produce section.,Be Good to Yourself,Produce,Carrots,2.88,"",295
103,Vegetables Organic,High-quality vegetables from frozen section.,Taste the Difference,Frozen,Vegetables,14.37,"",39
104,Biscuits Fresh,High-quality biscuits from snacks section.,Sainsbury's,Snacks,Biscuits,9.09,"",110
105,Fish Premium,High-quality fish from frozen section.,Basics,Frozen,Fish,11.01,"",160
106,Juice Fresh,High-quality juice from beverages section.,Be Good to Yourself,Beverages,Juice,0.68,"",392
107,Nuts Classic,High-quality nuts from snacks section.,Be Good to Yourself,Snacks,Nuts,5.63,"",163
108,Cheese Premium,High-quality cheese from dairy section.,Sainsbury's,Dairy,Cheese,10.91,"",291
109,Bananas Fresh,High-quality bananas from produce section.,Be Good to Yourself,Produce,Bananas,7.2,"",309
110,Chicken Organic,High-quality chicken from meat section.,Sainsbury's,Meat,Chicken,2.98,"",31
111,Coffee Organic,High-quality coffee from beverages section.,Taste the Difference,Beverages,Coffee,6.56,"",147
112,Turkey Premium,High-quality turkey from meat section.,Basics,Meat,Turkey,6.5,"",481
113,Potatoes Classic,High-quality potatoes from produce section.,Taste the Difference,Produce,Potatoes,3.21,"",306
114,Ice Cream Organic,High-quality ice cream from frozen section.,Sainsbury's,Frozen,Ice Cream,9.1,"",212
115,Coffee Classic,High-quality coffee from beverages section.,SO Organic,Beverages,Coffee,9.47,"",135
116,Beef Classic,High-quality beef from meat section.,SO Organic,Meat,Beef,5.51,"",157
117,Milk Classic,High-quality milk from dairy section.,Sainsbury's,Dairy,Milk,6.01,"",229
118,Juice Classic,High-quality juice from beverages section.,Be Good to Yourself,Beverages,Juice,7.79,"",423
119,Bread Organic,High-quality bread from bakery section.,Sainsbury's,Bakery,Bread,14.59,"",482
120,Cake Organic,High-quality cake from bakery section.,Be Good to Yourself,Bakery,Cake,11.69,"",27
121,Milk Premium,High-quality milk from dairy section.,Basics,Dairy,Milk,9.3,"",407
122,Apples Classic,High-quality apples from produce section.,Basics,Produce,Apples,9.45,"",290
123,Bananas Classic,High-quality bananas from produce section.,SO Organic,Produce,Bananas,1.14,"",191
124,Bananas Premium,High-quality bananas from produce section.,Be Good to Yourself,Produce,Bananas,9.92,"",15
125,Cheese Organic,High-quality cheese from dairy section.,Be Good to Yourself,Dairy,Cheese,8.28,"",345
126,Juice Fresh,High-quality juice from beverages section.,Basics,Beverages,Juice,4.54,"",346
127,Cake Classic,High-quality cake from bakery section.,Sainsbury's,Bakery,Cake,3.79,"",359
128,Chocolate Classic,High-quality chocolate from snacks section.,Be Good to Yourself,Snacks,Chocolate,7.26,"",453
129,Butter Organic,High-quality butter from dairy section.,Sainsbury's,Dairy,Butter,5.57,"",59
130,Biscuits Fresh,High-quality biscuits from snacks section.,Sainsbury's,Snacks,Biscuits,4.46,"",89
131,Yogurt Fresh,High-quality yogurt from dairy section.,Be Good to Yourself,Dairy,Yogurt,8.19,"",355
132,Nuts Organic,High-quality nuts from snacks section.,SO Organic,Snacks,Nuts,14.52,"",239
133,Juice Premium,High-quality juice from beverages section.,Sainsbury's,Beverages,Juice,11.12,"",407
134,Chocolate Organic,High-quality chocolate from snacks section.,Sainsbury's,Snacks,Chocolate,6.22,"",301
135,Bananas Fresh,High-quality bananas from produce section.,Be Good to Yourself,Produce,Bananas,7.35,"",145
136,Chicken Fresh,High-quality chicken from meat section.,Sainsbury's,Meat,Chicken,6.49,"",388
137,Croissant Fresh,High-quality croissant from bakery section.,Taste the Difference,Bakery,Croissant,13.73,"",69
138,Apples Classic,High-quality apples from produce section.,SO Organic,Produce,Apples,11.7,"",177
139,Croissant Classic,High-quality croissant from bakery section.,Sainsbury's,Bakery,Croissant,14.52,"",208
140,Chicken Premium,High-quality chicken from meat section.,Be Good to Yourself,Meat,Chicken,11.0,"",444
141,Butter Premium,High-quality butter from dairy section.,Basics,Dairy,Butter,7.2,"",11
142,Chicken Fresh,High-quality chicken from meat section.,Be Good to Yourself,Meat,Chicken,10.86,"",201
143,Chicken Organic,High-quality chicken from meat section.,SO Organic,Meat,Chicken,7.6,"",173
144,Juice Classic,High-quality juice from beverages section.,SO Organic,Beverages,Juice,11.99,"",56
145,Tea Classic,High-quality tea from beverages section.,SO Organic,Beverages,Tea,6.15,"",361
146,Carrots Organic,High-quality carrots from produce section.,Be Good to Yourself,Produce,Carrots,5.04,"",75
147,Biscuits Organic,High-quality biscuits from snacks section.,Sainsbury's,Snacks,Biscuits,4.57,"",478
